"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"269","Nørrebro",4.5,2,1,25,55.696899,12.542934,"S"
"270","Vesterbro-Kongens Enghave",0,4,1,27,55.670308,12.549589,"S"
"271","Nørrebro",4.5,1,1,23,55.698209,12.54447,"S"
"272","Østerbro",4.5,3,1,30,55.710663,12.57659,"S"
"273","Østerbro",0,1,1,30,55.708754,12.573687,"S"
"274","Østerbro",4.5,2,1,23,55.70851,12.56263,"S"
"275","Nørrebro",4.5,2,1,25,55.695769,12.543178,"S"
"276","Amager Øst",5,1,1,21,55.667718,12.615712,"S"
"277","Nørrebro",0,8,1,38,55.694672,12.535202,"S"
"278","Vesterbro-Kongens Enghave",4,4,1,27,55.671186,12.548267,"S"
"279","Amager Vest",5,2,1,35,55.662356,12.594311,"S"
"280","Brønshøj-Husum",4.5,2,1,31,55.715404,12.478687,"S"
"281","Amager Vest",0,1,1,10,55.662346,12.596559,"S"
"282","Vesterbro-Kongens Enghave",4,2,1,29,55.638349,12.542205,"S"
"283","Valby",4.5,1,1,19,55.654343,12.51792,"S"
"284","Vesterbro-Kongens Enghave",4.5,2,1,30,55.669129,12.550356,"S"
"285","Nørrebro",0,1,1,25,55.696585,12.544963,"S"
"286","Bispebjerg",5,1,1,23,55.707127,12.530957,"S"
"287","Nørrebro",4.5,2,1,31,55.686052,12.549453,"S"
"288","Østerbro",4.5,4,1,23,55.708403,12.563073,"S"
"289","Indre By",4,6,1,30,55.671914,12.576299,"S"
"290","Vesterbro-Kongens Enghave",4,4,1,27,55.671778,12.549545,"S"
"291","Nørrebro",5,1,1,23,55.688102,12.545483,"S"
"292","Amager Vest",0,2,1,33,55.646556,12.613649,"S"
"293","Vesterbro-Kongens Enghave",4.5,2,1,30,55.668403,12.549877,"S"
"294","Vesterbro-Kongens Enghave",0,1,1,32,55.672094,12.551099,"S"
"295","Amager Øst",5,3,1,29,55.664107,12.604952,"S"
"296","Indre By",0,2,1,28,55.671926,12.568951,"S"
"297","Østerbro",4.5,1,1,23,55.708415,12.563181,"S"
"298","Nørrebro",4,1,1,27,55.695156,12.539414,"S"
"299","Nørrebro",0,2,1,27,55.702401,12.541056,"S"
"300","Amager Øst",4.5,2,1,29,55.659768,12.609668,"S"
"301","Indre By",0,1,1,35,55.681448,12.582024,"S"
"302","Nørrebro",0,1,1,23,55.698002,12.545955,"S"
"303","Amager Øst",4.5,2,1,36,55.664355,12.608494,"S"
"304","Amager Vest",0,2,1,18,55.665055,12.593562,"S"
"305","Østerbro",5,1,1,30,55.706572,12.583516,"S"
"306","Nørrebro",5,1,1,27,55.694368,12.540646,"S"
"307","Nørrebro",5,1,1,23,55.696618,12.543831,"S"
"308","Indre By",4.5,8,4,378,55.679826,12.604246,"E"
"309","Indre By",4.5,6,2,315,55.688931,12.566327,"E"
"310","Amager Øst",5,6,4,249,55.65724,12.627979,"E"
"311","Østerbro",4.5,6,3,73,55.706131,12.579278,"E"
"312","Indre By",0,6,4,832,55.674075,12.573971,"E"
"313","Indre By",5,8,4,454,55.685089,12.566526,"E"
"314","Amager Vest",4.5,8,4,378,55.664328,12.575015,"E"
"315","Amager Vest",0,6,3,249,55.666805,12.59704,"E"
"316","Amager Vest",0,6,3,190,55.660854,12.572725,"E"
"317","Vanløse",0,6,3,204,55.69332,12.51668,"E"
"318","Vesterbro-Kongens Enghave",5,5,3,190,55.647117,12.555643,"E"
"319","Amager Øst",0,8,4,180,55.655264,12.635792,"E"
"320","Indre By",0,4,2,563,55.684045,12.583098,"E"
"321","Vesterbro-Kongens Enghave",5,10,3,378,55.670392,12.564302,"E"
"322","Amager Vest",0,4,2,348,55.635551,12.573797,"E"
